2025-08-01 16:17:46,392 - __main__ - INFO - Reading training data...
2025-08-01 16:20:02,052 - __main__ - INFO - Processed 750 points for пшеница
2025-08-01 16:21:08,388 - __main__ - INFO - Processed 350 points for ячмень
2025-08-01 16:21:17,804 - __main__ - INFO - Processed 50 points for овес
2025-08-01 16:21:17,807 - __main__ - INFO - Training data shape: (1150, 21)
2025-08-01 16:21:17,808 - __main__ - INFO - Training model...
2025-08-01 16:29:40,833 - __main__ - INFO - Reading training data...
2025-08-01 16:30:43,558 - __main__ - WARNING - Invalid values (NaN, inf, or too large) at (8349, 9683): [np.float32(27.261427), np.float32(29.856632), np.float32(-2.595204), np.float32(13.736987), np.float32(46.54322), np.float32(0.22437866), np.float32(1523.4431), np.float32(32.605537), np.float32(-inf), np.float32(inf), np.float32(0.0), np.float32(46.65224), np.float32(inf), np.float32(1835.4948), np.float32(27.890453), np.float32(30.44192), np.float32(-2.5514674), np.float32(14.984272), np.float32(91.40251), np.float32(0.22546731), np.float32(1759.6151)]
2025-08-01 16:30:43,679 - __main__ - WARNING - Invalid values (NaN, inf, or too large) at (8297, 9683): [np.float32(31.252668), np.float32(28.994844), np.float32(2.2578244), np.float32(13.374347), np.float32(25.643124), np.float32(0.42302862), np.float32(2144.1064), np.float32(32.93823), np.float32(-inf), np.float32(inf), np.float32(0.0), np.float32(38.088936), np.float32(inf), np.float32(1980.9132), np.float32(30.885212), np.float32(32.576218), np.float32(-1.6910079), np.float32(15.288194), np.float32(-76.062126), np.float32(0.27018833), np.float32(3053.8916)]
2025-08-01 16:30:44,041 - __main__ - WARNING - Invalid values (NaN, inf, or too large) at (8330, 9669): [np.float32(29.557293), np.float32(29.546267), np.float32(0.0110265035), np.float32(36.607307), np.float32(-152.37914), np.float32(0.51927644), np.float32(1809.7444), np.float32(34.43096), np.float32(-inf), np.float32(inf), np.float32(0.0), np.float32(-130.23694), np.float32(inf), np.float32(2774.275), np.float32(28.010921), np.float32(31.32647), np.float32(-3.315547), np.float32(22.82622), np.float32(-6.8670673), np.float32(0.2709077), np.float32(1991.6068)]
2025-08-01 16:30:44,282 - __main__ - WARNING - Invalid values (NaN, inf, or too large) at (8364, 9681): [np.float32(28.30468), np.float32(31.68635), np.float32(-3.381671), np.float32(19.248793), np.float32(149.42354), np.float32(0.24341437), np.float32(2160.3672), np.float32(31.68426), np.float32(-inf), np.float32(inf), np.float32(0.0), np.float32(84.89316), np.float32(inf), np.float32(1483.8933), np.float32(29.047503), np.float32(31.718046), np.float32(-2.6705441), np.float32(8.916391), np.float32(47.75129), np.float32(0.12997413), np.float32(2332.8628)]
2025-08-01 16:30:46,633 - __main__ - WARNING - Invalid values (NaN, inf, or too large) at (8287, 9665): [np.float32(34.145535), np.float32(29.615667), np.float32(4.529867), np.float32(2.6949062), np.float32(-103.53709), np.float32(0.13508922), np.float32(3589.018), np.float32(31.559113), np.float32(-inf), np.float32(inf), np.float32(0.0), np.float32(97.29091), np.float32(inf), np.float32(1433.9048), np.float32(27.873121), np.float32(30.046871), np.float32(-2.17375), np.float32(23.88691), np.float32(1.2897589), np.float32(0.34597176), np.float32(1709.9291)]
2025-08-01 16:30:49,738 - __main__ - WARNING - Invalid values (NaN, inf, or too large) at (8590, 9695): [np.float32(28.286877), np.float32(29.001667), np.float32(-0.7147891), np.float32(11.873986), np.float32(33.43847), np.float32(0.25861347), np.float32(1479.389), np.float32(32.879974), np.float32(-inf), np.float32(inf), np.float32(2.185277), np.float32(88.76494), np.float32(inf), np.float32(1970.8809), np.float32(30.671915), np.float32(29.915905), np.float32(0.7560098), np.float32(7.9756327), np.float32(132.69955), np.float32(0.21683842), np.float32(2161.0325)]
2025-08-01 16:30:49,859 - __main__ - WARNING - Invalid values (NaN, inf, or too large) at (8534, 9692): [np.float32(30.50204), np.float32(26.586744), np.float32(3.9152958), np.float32(8.809432), np.float32(-128.51115), np.float32(0.3676738), np.float32(1591.8652), np.float32(32.83017), np.float32(-inf), np.float32(inf), np.float32(0.0), np.float32(-39.49352), np.float32(inf), np.float32(1919.1418), np.float32(26.34338), np.float32(32.212948), np.float32(-5.8695674), np.float32(19.675406), np.float32(-45.71376), np.float32(0.17153405), np.float32(2147.6045)]
2025-08-01 16:30:51,590 - __main__ - WARNING - Invalid values (NaN, inf, or too large) at (8589, 9695): [np.float32(26.266071), np.float32(29.931044), np.float32(-3.6649737), np.float32(9.056562), np.float32(98.09773), np.float32(0.120699696), np.float32(1411.1715), np.float32(33.474316), np.float32(-inf), np.float32(inf), np.float32(0.94511956), np.float32(78.76817), np.float32(inf), np.float32(2226.2844), np.float32(29.928045), np.float32(29.882963), np.float32(0.045080956), np.float32(25.310255), np.float32(56.12906), np.float32(0.47221145), np.float32(1966.9952)]
2025-08-01 16:30:54,534 - __main__ - WARNING - Invalid values (NaN, inf, or too large) at (8509, 9686): [np.float32(28.22636), np.float32(32.616722), np.float32(-4.3903613), np.float32(29.758358), np.float32(-43.357903), np.float32(0.2541681), np.float32(2515.7686), np.float32(36.27319), np.float32(-inf), np.float32(inf), np.float32(7.121189), np.float32(104.83812), np.float32(inf), np.float32(4400.1895), np.float32(35.149277), np.float32(35.82067), np.float32(-0.67139685), np.float32(6.6807184), np.float32(77.85155), np.float32(0.1523891), np.float32(7104.845)]
2025-08-01 16:30:54,658 - __main__ - WARNING - Invalid values (NaN, inf, or too large) at (8557, 9693): [np.float32(32.591194), np.float32(29.828764), np.float32(2.7624295), np.float32(15.698537), np.float32(-17.380054), np.float32(0.49913514), np.float32(2784.724), np.float32(32.34399), np.float32(-inf), np.float32(inf), np.float32(0.0), np.float32(-111.35225), np.float32(inf), np.float32(1798.5339), np.float32(29.65762), np.float32(28.566343), np.float32(1.0912756), np.float32(16.23371), np.float32(-50.44386), np.float32(0.4121901), np.float32(1646.5306)]
